CODINT_0;flags;Désignation;options_exist
GESTSV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types facture vente;CMS
GESTSV2;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types de factures;CMS
GESTTN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Type note transport;CMS
GESTUN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Unités;CMS
GESTUV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Périodes d'indisponibilité;CMS
GESTUVM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Périodes d'indisponibilité;CMS
GESTVB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Régime de taxe du tiers;CMS
GESTVC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Détermination des taxes;CMS
GESTVI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Niveau de taxe;CMS
GESTVT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Taxes;CMS
GESTWC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Centres de charge;CMS
GESTWD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Schémas hebdomadaires;CMS
GESTWDCRM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Schémas hebdomadaires;CMS
GESTXS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage tableaux de bord;CMS
GESTXW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Consultation tableaux de bord;CMS
GESTZL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Alimentation zones libres;CMS
GESUNNB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Numéro ONU;CMS
GESVATGRP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Entités de TVA;CMS
GESVCL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Classification fiscale;CMS
GESVEF;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Formulaire TVA;CMS
GESVFE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Déclarations de TVA;CMS
GESVTB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Cases TVA;CMS
GESXED;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Import delfort;CMS
GESXEDH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Historique Import delfort;CMS
GESYAP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Programme de production;CMS
GESYAV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion Avis;CMS
GESYBF;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion bons commandes fiscaux;CMS
GESYBH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Bordereaux de transmission;CMS
GESYCD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Destinations comptables;CMS
GESYCO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Code comptable automatique;CMS
GESYDEM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Demande Chiffrage;CMS
GESYFB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Flux par baque;CMS
GESYFI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des fiches inventaire;CMS
GESYFP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Saisie des fiches inventaire;CMS
GESYGO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion d'objet;CMS
GESYHD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Historique déclaration;CMS
GESYNA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plan d'actions;CMS
GESYNC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Non-Conformités;CMS
GESYNG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};NC - Demande de dérogation;CMS
GESYPH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Réception factures;CMS
GESYPV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Ventilation livraison client;CMS
GESYRS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Retenue à la source;CMS
GESYSI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Fiche chiffrage;CMS
GESYSIM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Chiffrage;CMS
GESYSIM1;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Chiffrage test;CMS
GESYTSK;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Tâche NC;CMS
GESYVP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Version PIC;CMS
GESYXC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Colisage;CMS
GESYXE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage Easy Planning;CMS
GESYXED;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Import delfort;CMS
GESYXG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage TECHNO-GM;CMS
GEXPENCH;{};Enchaînements d'exports;
GFSOPTFREE;{};Retirer de l’ordonnancement;
GIMPENCH;{};Enchaînements d'imports;
GIMPEXPPAR;{};Paramètres import/export;
GMAINT;{};Maintenance des tables en lig.;
GRACAL;{};Calcul des subventions;
GSTDCOL;{};Maintenance en colonnes;
HONLINANN;{};Annulation lignes d'honoraires;
HONLINEXT;{};Extraction des honoraires;
IDNGEN;{};Génération factures d'agios;
IMPAYE;{};Impayés;
IMPDOS;{};Import dossier;
IMPORTV3;{};Structuration tableau/import;
IPTACPTCLI;{};Imputation acomptes clients;
IPTACPTFOU;{};Imputation acomptes;
LCKSRC;{};Traitements verrouillés;
LEAPAY;{};Evénements de redevance;
LETTRAGE;{};Lettrage;
LETTRAUTO;{};Lettrage automatique;
LOFGRPFAS;{};Immobilisation des dépenses;
LOFVATREG;{};Régularisation TVA - Dépenses;
LTPAR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Connexion à Sage sales tax;CMS
MESINT;{};Lancement interface MES;
MIGX3PV12;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};X3 People - Migration;CMS
MMSINT;{};Lancement interface MMS;
MODCPT;{};Valeurs des compteurs;
MONO;{};Mode mono;
MULTI;{};Mode multi;
MULTIWOX;{};Planification multi-niveaux;
NTFQUIT;{};Notification de réglements;
OPNFIY;{};Ré-ouverture d'exercice;
OPNPER;{};Ré-ouverture période;
ORDWIPVAL;{};Valorisation en-cours;
OROINT;{};Lancement interface APS;
PASSE;{};Changement mot de passe;
PATCH;{};Intégration de patchs;
PATCHT;{};Test de patchs;
PAYPROPAL;{};Proposition automatique;
PHYISSM;{};Sortie d'actif - Tr massif;
PHYTRFM;{};Transfert géographique massif;
PLMINT;{};Lancement interface PLM;
POINTAGE;{};Pointage;
PRHBATCH;{};Génération liste de valeurs;
PROROG;{};Prorogation fournisseur;
PROROGC;{};Prorogation client;
PYRAINT;{};Interface HRMS NA;
RAPBAN;{};Rapprochement bancaire;
RAPLCRAUT;{};Rapprochement domiciliations;
RAPLCRMAN;{};Rapprochement domiciliations;
RAZDOS;{};Remise à zéro dossier;
RECBAL;{};Resynchronisation balances;
RECBLA;{};Resynchronisation balances ana;
RECBLM;{};Resynchronisation balances eng;
RECBLQ;{};Resynchronisation balances qté;
RECECT;{};Pièces;
RECENG;{};Resynchronisation engagements;
RECHACC;{};Recherche code d'accès;
RECHACI;{};Recherche action;
RECHACT;{};Recherche code activité;
RECHADC;{};Recherche sur type de donnée;
RECHAMZ;{};Recherche champ;
RECHDU;{};Resynchronisation échéances;
RECHMESS;{};Recherche message;
RECHTXT;{};Recherche texte;
RECHTYP;{};Recherche type de données;
RECLET;{};Resynchronisation lettrage;
RECOBJTXT;{};Pièces jointes et images;
RECPYRACC;{};Resynchro pyramides comptes;
RECPYRCCE;{};Resynchro pyramides sections;
RECSOL;{};Resynchronisation soldes;
RECTXTUTI;{};Textes;
RECUPLNK;{};Resynchronisation des liaisons;
RELBANK;{};Importation relevé bancaire;
RELLCR;{};Import relevé LCR;
REMPLCOMP;{};Remplacement composants;
REMPLSRV;{};Remplacement services;
REPLCR;{};Export relevé LCR;
REPRISEAE;{};Reprise Abel Entreprise;
RETACC;{};Retour acceptation;
RFI60;{};Impression/groupe/compta;
RFI64;{};Impression/groupe/compta;
RFI66;{};Impression/groupe/compta;
RFI68;{};Impression/groupe/compta;
RFI6B;{};Impression/groupe/compta;
RPT01;{};Impression/groupe;
RPT02;{};Impression/groupe;
RPT03;{};Impression/groupe/compta;
RPT04;{};Impression/groupe/compta;
RPT05;{};Impression/groupe/compta;
RPT06;{};Impression/groupe/compta;
RPT08;{};Impression/groupe/compta;
RPT09;{};Impression/groupe/compta;
RPT10;{};Impression/groupe/compta;
RPT11;{};Impression/groupe/compta;
RPT12;{};Impression/groupe/ventes;
RPT13;{};Impression/groupe/ventes;
RPT14;{};Impression/groupe/ventes;
RPT15;{};Impression/groupe/ventes;
RPT16;{};Impression/groupe/ventes;
RPT18;{};Impression/groupe/achats;
RPT19;{};Impression/groupe/achats;
RPT20;{};Impression/groupe/achats;
RPT21;{};Impression/groupe/achats;
RPT22;{};Impression/groupe/achats;
RPT23;{};Impression/groupe/CRM;
RPT24;{};Impression/groupe/CRM;
RPT25;{};Impression/groupe/stocks;
RPT26;{};Impression/groupe/stocks;
RPT27;{};Impression/groupe/stocks;
RPT28;{};Impression/groupe/stocks;
RPT29;{};Impression/groupe/stocks;
RPT31;{};Impression/groupe/production;
RPT32;{};Impression/groupe/production;
RPT33;{};Impression/groupe/production;
RPT34;{};Impression/groupe/production;
RPT35;{};Impression/groupe/production;
RPT60;{};Impression/groupe/compta;
RPT64;{};Impression/groupe/compta;
RPT66;{};Impression/groupe/compta;
RPT68;{};Impression/groupe/compta;
RPT6F;{};Impression/groupe/compta;
RPTF1;{};Impression/groupe/immo;
RPTF2;{};Impression/groupe/financement;
RPTF3;{};Impression/groupe/immo phy;
RPTF4;{};Impression/groupe/immo;
RPTF5;{};Impression/groupe/immo;
RPTF6;{};Impression/groupe/immo;
RPTF7;{};Impression/groupe/immo;
RPTF8;{};Impression/groupe/immo;
RPTF9;{};Impression/groupe/immo;
RPTHR03;{};Impression/groupe;
RPTHR08;{};Impression/groupe;
SAIFCT;{};Saisie factors;
SAISTA;{};Prévisions statistiques;
SAISTACPY;{};Statut des contextes;
SAIWRKMAN;{};Workflow manuel;
SCMAINT;{};Lancement interface Prév. APS;
SEPAR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Passerelles paiement;CMS
SFAINT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Connecteur SFA NA;CMS
SIMULFINEX;{};Reconstitution à nouveau;
SQLDICO;{};Recherche index;
SUBHLN;{};Mise à jour lignes honoraires;
SUPGAMME;{};Suppression gammes;
SUPPRCOMP;{};Suppression composants;
SUPPRSRV;{};Suppression services;
SYNCHDICO;{};Synchronisation des fenêtres;
SYNCLLC;{};Resynchro codes plus bas niv;
SYSTEME;{};Exécution d'un ordre système;
TDSCTL;{};Contrôles TDS;
TDSGENE;{};Génération fichier TDS;
TRTCPTINT;{};Interface comptable;
TRTPERMC;{};Ouverture période multi-soc.;
TRTPRO;{};Processus base de données;
TRTPROP;{};Propriétés base de données;
TRTSOHDRAFT;{};Validation commandes brouillon;
TRTSTA;{};Statistiques base de données;
TXSGRP;{};Calcul;
TXT;{'M': 'gnification inconnue', 'C': 'gnification inconnue', 'S': 'gnification inconnue'};Messages applicatif;MCS
UCREDEPCUM;{};Création DEPREC courant;
UDELPLN;{};Suppression plan amortissement;
ULOFCRE;{};Création dépense;
UMAJDEROG;{};Mise à jour du dérogatoire;
UMAJSUIV;{};Synchronisation des suivis;
UPDWAITRT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Modifications en attente;CMS
UTIBASE;{};Vérification cohérence base;
UTICHK;{};Pointage en partie simple;
UTICLOPER;{};Fermeture période;
UTIDEP;{};Contrôle des dépendances;
UTIFIYPER;{};Création exercices/périodes;
UTIGNRLED;{};Génération écritures;
VALDICO;{};Validation du dictionnaire;
VALMENU;{};Validation des menus;
VALPCE;{};Tâches comptables;
VALPORT;{};Dévalorisation des effets;
VALSTA;{};Validation statistiques;
VERFEURO;{};Vérification date fin devise;
VERROU;{};Verrouillage dossier;
VERSYMB;{};Symboles verrouillés;
VFECLC;{};Extraction déclarations de TVA;
VISUAYS;{};Visualisation site web;
VISUBOMG;{};Nomenclatures multi niveaux;
VISUBOMROU;{};Recette;
VISUROUBOM;{};Recette;
VISUROUG;{};Gammes multi niveaux;
VXABP;{};Préparations d'expéditions;
VXACC;{};Inventaires;
VXAIT;{};Transferts inter-sites;
VXALR;{};Réappro emplacement;
VXAMO;{};Sorties diverses;
VXAMR;{};Entrées diverses;
VXAMT;{};Sortie matières;
VXAOT;{};Suivi des temps;
VXAPI;{};Consultation commande Achat;
VXAPR;{};Réceptions;
VXAPT;{};Déclaration prod;
VXARI;{};Commandes à réceptionner;
VXASC;{};Changements stock;
VXASP;{};Définir la destination;
VXASS;{};Définir le site;
VXAST;{};Transferts sous-traitants;
VXASY;{};Rangements sur liste;
VXBIT;{};Transferts inter-sites;
VXBMO;{};Sorties diverses;
VXBMT;{};Sortie matières;
VXBRKI;{};Début de pause;
VXBRKO;{};Arrêt de pause;
VXBSC;{};Changements stock;
VXBST;{};Transferts sous-traitants;
VXCAS;{};Articles - Sites;
VXCEM;{};Emplacements;
VXECI;{};Pointage arrivée;
VXECO;{};Pointage départ;
VXELP;{};Heures passées;
VXINDI;{};Début temps hors production;
VXINDO;{};Arrêt temps hors production;
VXRUNI;{};Début exécution;
VXRUNO;{};Arrêt exécution;
VXSETI;{};Début préparation;
VXSETO;{};Fin préparation;
YATTBC;{};Attribution automatique BCF;
YDECEXE;{};Exécution déclaration;
YEVALPA;{};Requêteur PA;
YEVALPAD;{};Requêteur PAD;
YGENDEC;{};Génération fichier déclaration;
YINTFRPX3;{};Interfaçage FRP / X3;
YINTX3FRP;{};Interfaçage X3 / FRP;
YNCEXEALH;{};Requêteur NC;
YRESBC;{};Réservation automatique BCF;
YSFIINTER;{};Validation des fiches;
YSPL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Suivi plannning de livraison;CMS
YTRANSFRP;{};MAJ Flag Interface FRP;
YVALID;{};Validation dépassement;
YVENTI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Lancement Ventilation Liv.;CMS
YVREQBAS;{};Consultation stock projeté;
YX3EASY;{};Lancement interface X3 / Easy;
YX3EASY1;{};Interface X3 / Easy (PIC);
YX3EDI;{};Importation des fichiers EDI;
YX3GMAO;{};Lancement inter X3 / TECHNO-GM;
